Price,Close,High,Low,Open,Volume,Ticker
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,
Date,,,,,,
2018-01-02,53.29293441772461,53.430485928803,52.29035071257904,52.29035071257904,31766000,GOOGL
2018-01-03,54.20216369628906,54.429595175331535,53.30386031030047,53.32868679132137,31318000,GOOGL
2018-01-04,54.4127082824707,54.82585910593442,54.33822505255014,54.478754373376354,26052000,GOOGL
2018-01-05,55.13422775268555,55.29760211686286,54.71263604418541,54.79457137739652,30250000,GOOGL
2018-01-08,55.328895568847656,55.57470161848857,55.119838624206935,55.169495378767486,24644000,GOOGL
2018-01-09,55.25837707519531,55.5389432030721,55.030449299116086,55.5389432030721,26808000,GOOGL
2018-01-10,55.12678527832031,55.25788106765144,54.82089636607006,54.97085921984269,20734000,GOOGL
2018-01-11,55.22163391113281,55.36067433046023,54.94504197942064,55.23454534843711,22424000,GOOGL
2018-01-12,56.145263671875,56.177538476446756,55.021017700252045,55.12480171204202,38586000,GOOGL
2018-01-16,56.147743225097656,57.05051709977311,55.94712722945501,56.62495114176238,36462000,GOOGL
2018-01-17,56.56486511230469,56.575787550755734,55.78970916473686,56.42880251968211,27830000,GOOGL
2018-01-18,56.40943908691406,56.63885577232393,55.83788068830661,56.57728018999437,27498000,GOOGL
2018-01-19,56.783355712890625,56.797259753551884,56.23712392038395,56.51173061772727,30552000,GOOGL
2018-01-22,57.80928421020508,57.94435420687602,56.699934914928505,56.79925220323572,29550000,GOOGL
2018-01-23,58.405670166015625,58.521869311767695,57.96272603883527,58.1300708422983,39138000,GOOGL
2018-01-24,58.1633415222168,58.94594584957529,57.970173846179485,58.843154444192656,37128000,GOOGL
2018-01-25,58.70212173461914,58.84414374542783,58.19065003650471,58.631112623498296,29984000,GOOGL
2018-01-26,58.97126770019531,58.97126770019531,58.00145891691538,58.96977879330763,42170000,GOOGL
2018-01-29,58.91763687133789,59.489691531734586,58.79746352899024,58.99311648986224,31494000,GOOGL
2018-01-30,58.46526336669922,58.989646560576546,58.323241339787685,58.48264531402683,37338000,GOOGL
2018-01-31,58.70609664916992,58.90969424174536,58.20356217452964,58.785050386223745,36022000,GOOGL
2018-02-01,58.6748161315918,58.965812204270236,58.06750499036581,58.39673528514675,73514000,GOOGL
2018-02-02,55.57667922973633,56.17753459147874,55.17792876359415,55.98486322772803,117842000,GOOGL
2018-02-05,52.75564193725586,55.36762805754289,52.47507957838458,54.653551296692484,83550000,GOOGL
